Group,Parameter,Value,Unit,Source,Confidence,Note
Motor,P.WindingTempMax_C,"155",degC,ASSUMPTION,6,"Class F insulation assumed. Confirm with Competr."
Motor,P.WindingTempForCalibration_C,"100",degC,ASSUMPTION,6,"Winding temperature at which the loss model is evaluated. Must match P50B_DrivetrainModel."
Motor,P.WindageCoefficient_W_per_rpm3,"2.5e-10",W/rpm^3,ASSUMPTION,6,"Windage and gearbox churn, cubic in speed."
Motor,P.ThermalResistanceWindingToCoolant_K_W,"0.045",K/W,ASSUMPTION,6,"Sets steady-state winding rise. At 1.2 kW loss this gives ~54 K above coolant."
Motor,P.RatedPhaseCurrentPeak_A,"400",A,ASSUMPTION,6,"Peak phase current at maximum torque. Sets the flux-linkage back-calculation and the inverter current rating requirement."
Motor,P.PolePairs,"10",-,ASSUMPTION,6,"Axial-flux marine machines commonly use 8-14 pole pairs. Directly sets electrical frequency."
Motor,P.PeakEfficiency,"0.955",-,ASSUMPTION,6,"Typical for a water-cooled axial-flux PMSM. Replace with the measured efficiency map."
Motor,P.MechanicalLossConstant_W,"60",W,ASSUMPTION,6,"Bearing drag and seal friction, roughly constant."
Motor,P.MaximumSpeed_rpm,"4000",rpm,ASSUMPTION,6,"Typical for a marine axial-flux unit driving a reduction gearbox. Confirm with Competr."
Motor,P.Lq_H,"9.5e-05",H,ASSUMPTION,6,"Slight saliency assumed. Set equal to Ld if the machine is confirmed non-salient."
Motor,P.Ld_H,"8.5e-05",H,ASSUMPTION,6,"Axial-flux machines are typically low-inductance."
Motor,P.IronLossCoefficient_W_per_Hz2,"0.0012",W/Hz^2,ASSUMPTION,6,"Eddy-current term, quadratic in frequency."
Motor,P.IronLossCoefficient_W_per_Hz,"0.85",W/Hz,ASSUMPTION,6,"Linear iron-loss term vs electrical frequency."
Motor,P.GearboxRatio,"2",-,ASSUMPTION,6,"Datasheet confirms a gearbox exists but not its ratio. Affects motor speed for a given prop speed."
Motor,P.GearboxEfficiency,"0.97",-,ASSUMPTION,6,"Typical single-reduction marine gearbox."
Motor,P.CoolantInletTempMax_C,"50",degC,ASSUMPTION,6,""
Inverter,P.Vce0_V,"0",V,ASSUMPTION,6,"Zero for a MOSFET channel. Set to ~0.8 V for IGBT."
Inverter,P.ThermalResistanceJunctionToCase_K_W,"0.09",K/W,ASSUMPTION,6,"Per switch position."
Inverter,P.ThermalResistanceCaseToCoolant_K_W,"0.05",K/W,ASSUMPTION,6,"Through the cold plate to the water circuit."
Inverter,P.SwitchingReferenceVoltage_V,"400",V,ASSUMPTION,6,"Bus voltage at which Eon/Eoff/Erec were measured. Losses scale roughly linearly with actual bus voltage, so at 93.6 V they scale down by ~4.3x."
Inverter,P.SwitchingReferenceCurrent_A,"400",A,ASSUMPTION,6,"Current at which Eon/Eoff/Erec were measured."
Inverter,P.Rds_on_TempCoefficient,"1.6",-,ASSUMPTION,6,"Multiplier on Rds_on at 125 degC junction. SiC MOSFET on-resistance rises strongly with temperature, so hot-device loss is what matters."
Inverter,P.Rds_on_Ohm,"0.0016",Ohm,ASSUMPTION,6,"Per switch position at 25 degC."
Inverter,P.PowerFactor,"0.95",-,ASSUMPTION,6,"Typical for a PMSM under MTPA control."
Inverter,P.JunctionTempMax_C,"150",degC,ASSUMPTION,6,"Absolute maximum. Design to 125 degC."
Inverter,P.GateDriverPower_W,"25",W,ASSUMPTION,6,"Six channels plus isolated supplies."
Inverter,P.Erec_J,"0.0006",J,ASSUMPTION,6,"Reverse-recovery energy."
Inverter,P.Eon_J,"0.0032",J,ASSUMPTION,6,"Turn-on energy at reference conditions."
Inverter,P.Eoff_J,"0.0019",J,ASSUMPTION,6,"Turn-off energy at reference conditions."
Inverter,P.DiodeVf_V,"1.4",V,ASSUMPTION,6,"Body-diode forward drop during dead time."
Inverter,P.DeviceTechnology,"SiC MOSFET",-,ASSUMPTION,6,"SiC assumed for low conduction loss at high current. An IGBT module would raise conduction loss markedly at the 500 A+ currents involved here."
Inverter,P.DeadTime_s,"1.5e-06",s,ASSUMPTION,6,"Causes voltage distortion at low modulation index."
Inverter,P.DCLinkRippleCoefficient,"0.5",-,ASSUMPTION,6,"Peak DC-link RMS ripple as a fraction of phase RMS."
Inverter,P.DCLinkESR_Ohm,"0.0012",Ohm,ASSUMPTION,6,"Drives capacitor self-heating."
Inverter,P.DCLinkCapacitance_F,"0.0015",F,ASSUMPTION,6,"Sized for voltage ripple at the switching frequency."
Inverter,P.CoolantInletTemp_C,"40",degC,ASSUMPTION,6,"Shared water circuit with the motor."
Inverter,P.ControlPower_W,"15",W,ASSUMPTION,6,"Processor, sensing, CAN transceivers."
Harness,P.StrandingFactor,"1.03",-,ASSUMPTION,6,"Resistance multiplier for lay length and packing."
Harness,P.ResistancePerMatedConnector_Ohm,"5e-05",Ohm,ASSUMPTION,6,"Per mated pair, typical HV automotive connector."
Harness,P.ResistancePerBoltedJoint_Ohm,"2e-05",Ohm,ASSUMPTION,6,"Clean, correctly torqued, anti-oxidant treated. A loose or corroded joint can be 10-50x this and is a fire risk, not just a loss."
Harness,P.NumberOfMatedConnectors,"2",-,ASSUMPTION,6,"Inverter DC+ and DC- HV connectors."
Harness,P.NumberOfBoltedJoints,"6",-,ASSUMPTION,6,"Pack terminal x2, fuse x2, contactor x2."
Harness,P.FuseResistance_Ohm,"0.00015",Ohm,ASSUMPTION,6,"Cold resistance of a 500 A class-T or similar. Rises substantially as the element heats."
Harness,P.ContactorResistance_Ohm,"0.0002",Ohm,ASSUMPTION,6,"Main contactor contact resistance when closed. Degrades over life; check on a maintenance schedule."
Harness,P.ContactorCoilPower_W,"6",W,ASSUMPTION,6,"Economised holding power. A parasitic 12 V load whenever the pack is live."
Harness,P.CableOperatingTemp_C,"70",degC,ASSUMPTION,6,"Conductor temperature under sustained load. Raises resistance ~20% over the 20 degC value."
Harness,P.CableLengthPositive_m,"1.2",m,ASSUMPTION,6,"Pack positive terminal to inverter DC+. Measure on the actual installation."
Harness,P.CableLengthNegative_m,"1.2",m,ASSUMPTION,6,"Inverter DC- back to pack negative terminal."
Harness,P.CableInsulationTempRating_C,"105",degC,ASSUMPTION,6,"XLPE or silicone. Sets the ampacity derating."
Harness,P.BundlingDerate,"0.8",-,ASSUMPTION,6,"Two cables run together in an enclosed conduit."
Harness,P.BaseAmpacity_A_per_mm2,"4.5",A/mm^2,ASSUMPTION,6,"Free air, 105 degC insulation, 30 degC ambient. Cross-check against ABYC E-11 or ISO 13297 for the final build."
Harness,P.AmbientDerate,"0.85",-,ASSUMPTION,6,"Engine-bay ambient above the 30 degC reference."
Cell,P.ThermalConductivityRadial_W_mK,"0.85",W/(m*K),ASSUMPTION,6,"Across the jelly roll. Dominates side-cooled designs."
Cell,P.ThermalConductivityAxial_W_mK,"25",W/(m*K),ASSUMPTION,6,"Along the windings. Dominates end-cooled designs."
Cell,P.TempDischargeMin_C,"-20",degC,ASSUMPTION,6,"Typical for high-power NMC. Confirm on datasheet."
Cell,P.TempDischargeMax_C,"60",degC,ASSUMPTION,6,"Typical for high-power NMC. Confirm on datasheet."
Cell,P.TempChargeMin_C,"0",degC,ASSUMPTION,6,"Charging below 0 degC risks lithium plating."
Cell,P.TempChargeMax_C,"45",degC,ASSUMPTION,6,"Typical for high-power NMC. Confirm on datasheet."
Cell,P.StandardChargeCurrent_A,"2.5",A,ASSUMPTION,6,"0.5 C. Typical standard-charge rate for this class."
Cell,P.SpecificHeat_J_kgK,"1050",J/(kg*K),ASSUMPTION,6,"Typical for 21700 NMC. Range in literature 950-1150."
Auxiliary,P.TrimPump_DutyCycle,"0.01",-,ASSUMPTION,6,"A few seconds of adjustment per leg of a race. Energy contribution is negligible; peak current is what the 12 V bus must survive."
Auxiliary,P.SteeringPump_DutyCycle,"0.08",-,ASSUMPTION,6,"Higher than trim: a slalom or manoeuvring course demands frequent correction."
Auxiliary,P.Instrumentation_Power_W,"25",W,ASSUMPTION,6,"Display, telemetry, navigation lights."
Auxiliary,P.DCDC_StandbyPower_W,"4",W,ASSUMPTION,6,"Drawn whenever the pack is live, even at zero load."
Auxiliary,P.DCDC_Efficiency,"0.92",-,ASSUMPTION,6,"Typical isolated HV-to-12V converter at mid load. Every auxiliary watt costs 1/0.92 watts from the pack."
Auxiliary,P.CoolingPump_Power_W,"70",W,ASSUMPTION,6,"Typical marine circulation pump. Well below the 180 W the driver could supply."
Auxiliary,P.CoolingPump_DutyCycle,"0.85",-,ASSUMPTION,6,"Runs continuously above light load; may cycle off at idle if thermostatically controlled."
Auxiliary,P.ControlUnit_Power_W,"18",W,ASSUMPTION,6,"Processor, two CAN transceivers, GPIO, sensing. Datasheet gives connector and driver ratings but not quiescent consumption."
Auxiliary,P.BilgePump_Power_W,"45",W,ASSUMPTION,6,""
Auxiliary,P.BilgePump_DutyCycle,"0.05",-,ASSUMPTION,6,"Float-switch triggered. Low duty in normal operation, 100% in a flooding event."
Motor,P.ConfiguredPowerLimit_W,"25000",W,DESIGN_CHOICE,5,"Monaco ENERGY_REQ_188 caps motor nominal power consumption at 25 kW. Enforced in the inverter."
Inverter,P.SwitchingFrequency_Hz,"10000",Hz,DESIGN_CHOICE,5,"Trade-off: higher reduces current ripple and audible noise, raises switching loss. 10 kHz is a common starting point for a low-voltage high-current drive."
Inverter,P.PowerLimit_W,"25000",W,DESIGN_CHOICE,5,"Monaco ENERGY_REQ_188 hard cap. The inverter is configured so motor electrical input never exceeds this. All sizing below follows from it, NOT from the outboard's 42 kW hardware peak, which is not a permitted operating point."
Inverter,P.OvershootFactor,"1.35",-,DESIGN_CHOICE,5,"Allowance for di/dt overshoot on stray inductance."
Inverter,P.JunctionTempDesign_C,"125",degC,DESIGN_CHOICE,5,""
Inverter,P.CurrentDesignMargin,"1.25",-,DESIGN_CHOICE,5,"Headroom over calculated peak for transients, derating at temperature, and control overshoot."
Harness,P.FuseRating_A,"400",A,DESIGN_CHOICE,5,"Monaco ENERGY_REQ_59 requires the protection rating to sit at or below the continuous rating of everything it protects: the 90 mm2 busbar (450 A) and the 150 mm2 cable (459 A derated). 400 A also clears the 385 A worst-case legal draw at minimum bus voltage without nuisance-tripping. Still needs a coordination study against the short-circuit capability of a 21P group."
Harness,P.CableCrossSection_mm2,"150",mm^2,DESIGN_CHOICE,5,"Sized for the 375 A continuous rating with bundling and ambient derates applied. 70 mm2 was the earlier choice and derates to only 214 A, well below the outboard rating -- see the ampacity check below."
Harness,P.CableConductor,"Copper, tinned, flexible",-,DESIGN_CHOICE,5,"Tinned for marine corrosion resistance. Flexible stranding to survive hull vibration."
Cell,P.TempDesignTarget_C,"45",degC,DESIGN_CHOICE,5,"Working ceiling for the pack. Cycle life over the competition season, not a safety limit."
Auxiliary,P.Instrumentation_DutyCycle,"1",-,DESIGN_CHOICE,5,""
Auxiliary,P.ControlUnit_DutyCycle,"1",-,DESIGN_CHOICE,5,"Always on while the system is armed."
Motor,P.PhaseResistance_Ohm,"0.00196364",Ohm,CALCULATED,4,"Per phase at 20 degC, back-solved so the loss model reproduces the assumed peak efficiency at the nominal operating point. Replace with the measured value if Competr supplies one."
Motor,P.IronLossAtRated_W,"583.859",W,CALCULATED,4,""
Motor,P.HardwareExceedsRuleLimit,"<logical>",-,CALCULATED,4,"Competr nominal 26.9 kW is above the 25 kW rule limit, so the derate is mandatory, not optional."
Motor,P.FluxLinkage_Wb,"0.0166667",Wb,CALCULATED,4,"Back-calculated from T = 1.5*p*lambda*Iq at rated torque and assumed rated current. Inherits the uncertainty of both."
Motor,P.CopperLossAtRated_W,"619.443",W,CALCULATED,4,""
Motor,P.BaseSpeed_rpm,"2568.76",rpm,CALCULATED,4,""
Motor,P.BaseSpeed_rad_s,"269",rad/s,CALCULATED,4,"NominalPower / MaximumTorque. Assumes the two ratings meet at the corner point. Confirm with Competr."
Motor,P.BackEMFConstant_Vs_rad,"0.204124",V*s/rad,CALCULATED,4,"Line-to-line RMS per mechanical rad/s."
Inverter,P.PhaseCurrentRMSPeak_A,"236.659",A,CALCULATED,4,"RMS phase current at the 25 kW cap, nominal bus."
Inverter,P.PhaseCurrentPeakPeak_A,"334.686",A,CALCULATED,4,"Peak of the phase current sinusoid. This is what the device datasheet Ic pulsed rating must cover."
Inverter,P.ModulationIndexMax,"0.57735",-,CALCULATED,4,"SVPWM peak phase voltage = Vdc/sqrt(3)."
Inverter,P.HardwarePeakIfUncapped_A,"646.154",A,CALCULATED,4,"What the outboard could draw at 42 kW and minimum bus if the cap failed. Not an operating point; relevant only to fault analysis and fuse clearing."
Inverter,P.DeviceCurrentRatingRequired_A,"418.358",A,CALCULATED,4,"Minimum device current rating to quote to suppliers, sized against the 25 kW cap. Capping the inverter is not only a rules requirement -- it also roughly halves the device rating the drive needs."
Inverter,P.DCLinkRippleCurrentRMS_A,"118.33",A,CALCULATED,4,"Capacitor must be rated for at least this RMS ripple at the switching frequency and at operating temperature."
Inverter,P.DCCurrentPeak_A,"267.094",A,CALCULATED,4,"25 kW rule limit at 93.6 V nominal bus."
Inverter,P.DCCurrentPeakWorstCase_A,"384.615",A,CALCULATED,4,"25 kW rule limit at the 65 V minimum bus. This is the number that sizes the DC link, the busbars and the fuse -- higher than the 267 A the cap implies at nominal voltage, because current rises as the pack empties."
Inverter,P.BusVoltageNominal_V,"93.6",V,CALCULATED,4,"26S at 3.6 V/cell nominal."
Inverter,P.BusVoltageMin_V,"65",V,CALCULATED,4,"26S at the 2.5 V cut-off. The inverter must still commutate here, and current for a given power is highest at this point."
Inverter,P.BusVoltageMax_V,"109.2",V,CALCULATED,4,"26S at 4.2 V/cell. Matches the Competr 109 V figure."
Inverter,P.BlockingVoltageRequired_V,"147.42",V,CALCULATED,4,"Minimum device blocking voltage."
Harness,P.TotalResistance_Ohm,"0.0009099",Ohm,CALCULATED,4,"Pack terminals to inverter DC terminals, round trip."
Harness,P.JointResistanceTotal_Ohm,"0.00012",Ohm,CALCULATED,4,""
Harness,P.ConnectorResistanceTotal_Ohm,"0.0001",Ohm,CALCULATED,4,""
Harness,P.CableResistance_Ohm,"0.0003399",Ohm,CALCULATED,4,"Both legs, at operating temperature, with stranding derate. This is the round-trip resistance."
Harness,P.CableAmpacity_A,"459",A,CALCULATED,4,"Derated continuous rating of the chosen cable."
Cell,P.Volume_m3,"2.559e-05",m^3,CALCULATED,4,""
Cell,P.ThermalMass_J_K,"73.5",J/K,CALCULATED,4,"Mass x specific heat. Sets the thermal time constant."
Cell,P.SurfaceArea_m2,"0.00474925",m^2,CALCULATED,4,"Cylindrical side wall only, excludes end caps."
Cell,P.SpecificEnergy_Wh_kg,"257.143",W*hr/kg,CALCULATED,4,""
Cell,P.Radius_m,"0.010775",m,CALCULATED,4,"Diameter_m / 2."
Auxiliary,P.TrimPump_PeakPower_W,"480",W,CALCULATED,4,"12 V x 40 A driver maximum. Actual pump draw depends on the unit selected."
Auxiliary,P.SteeringPump_PeakPower_W,"480",W,CALCULATED,4,""
Auxiliary,P.PeakLoad12V_W,"1118",W,CALCULATED,4,"All loads simultaneous. Compare against the 1 kW DC/DC rating -- see the headroom check below."
Auxiliary,P.DCDC_HeadroomAtPeak_W,"-118",W,CALCULATED,4,"Negative means simultaneous trim and steering actuation would exceed the DC/DC rating and must be prevented in control software or absorbed by the 12 V battery."
Auxiliary,P.AverageLoadFromPack_W,"164.815",W,CALCULATED,4,"Average 12 V load referred through DC/DC efficiency, plus converter standby. This is what the pack sees."
Auxiliary,P.AverageLoad12V_W,"147.95",W,CALCULATED,4,"Duty-cycle weighted mean 12 V draw."
Motor,P.CopperTempCoefficient_perK,"0.00393",1/K,PUBLISHED_TEST,3,"Copper resistivity temperature coefficient at 20 degC."
Harness,P.CopperTempCoefficient_perK,"0.00393",1/K,PUBLISHED_TEST,3,"At 20 degC reference."
Harness,P.CopperResistivity20C_Ohm_m,"1.724e-08",Ohm*m,PUBLISHED_TEST,3,"Annealed copper at 20 degC, IEC 60228 reference."
